Country,Store,Provider,Bandwidth
Colombia,3218,BW C&W,0
Colombia,3219,BW C&W,0
Colombia,3220,BW C&W,0
Colombia,3221,BW C&W,0
Colombia,3222,BW C&W,0
Colombia,3223,BW C&W,0
Colombia,3224,BW C&W,0
Colombia,3225,BW C&W,0
Colombia,3226,BW C&W,0
Colombia,3227,BW C&W,0
Colombia,3228,BW C&W,0
Colombia,3229,BW C&W,0
Colombia,3230,BW C&W,0
Colombia,3231,BW C&W,0
Colombia,3232,BW C&W,0
Colombia,3233,BW C&W,0
Colombia,3234,BW C&W,0
Colombia,3235,BW C&W,0
Colombia,3236,BW C&W,0
Colombia,3237,BW C&W,0
Colombia,3238,BW C&W,0
Colombia,3239,BW C&W,0
Colombia,3240,BW C&W,10
Colombia,3241,BW C&W,0
Colombia,3242,BW C&W,0
Colombia,3243,BW C&W,10
Colombia,3244,BW C&W,10
Colombia,3245,BW C&W,10
Colombia,3246,BW C&W,0
Colombia,3247,BW C&W,0
Colombia,3248,BW C&W,0
Colombia,3249,BW C&W,10
Colombia,3250,BW C&W,0
Colombia,3251,BW C&W,10
Colombia,3252,BW C&W,0
Colombia,3253,BW C&W,0
Colombia,3254,BW C&W,10
Colombia,3255,BW C&W,0
Colombia,3256,BW C&W,10
Colombia,3257,BW C&W,0
Colombia,3258,BW C&W,10
Colombia,3259,BW C&W,0
Colombia,3260,BW C&W,0
Colombia,3261,BW C&W,0
Colombia,3262,BW C&W,10
Colombia,3263,BW C&W,10
Colombia,3264,BW C&W,0
Colombia,3265,BW C&W,0
Colombia,3266,BW C&W,0
Colombia,3267,BW C&W,0
Colombia,3268,BW C&W,0
El Salvador,2001,BW Tigo,10
El Salvador,2002,BW Tigo,10
El Salvador,2003,BW Tigo,10
El Salvador,2004,BW Tigo,10
El Salvador,2005,BW Tigo,10
El Salvador,2006,BW Tigo,10
El Salvador,2007,BW Tigo,10
El Salvador,2008,BW Tigo,10
El Salvador,2009,BW Tigo,10
El Salvador,2010,BW Tigo,10
El Salvador,2011,BW Tigo,10
El Salvador,2012,BW Tigo,10
El Salvador,2013,BW Tigo,10
